
=== Evaluation Summary ===
Total Images: 22299
Correct Predictions: 21842
Overall Accuracy: 97.95%
Throughput: 55.72 images/sec

=== Per-Class Accuracy & Distribution ===
Class                            Accuracy    Correct      Total   % of Total
--------------------------------------------------------------------------------
bear                              100.00%          2          2        0.01%
bird                               94.53%        898        950        4.26%
boar                              100.00%          7          7        0.03%
capreolinae                        97.77%       1977       2022        9.07%
deer                               97.72%       1372       1404        6.30%
farm animal                        98.18%        592        603        2.70%
feline                             96.53%        501        519        2.33%
fox                                97.34%       3005       3087       13.84%
lepus                              97.18%       1657       1705        7.65%
mustelid                           98.22%       2977       3031       13.59%
rodent                             90.80%        661        728        3.26%
roe deer                           99.43%       8157       8204       36.79%
wolf                               97.30%         36         37        0.17%
